referencia,doi_articulo_citante,score_titulo
"Chouhan D, Pal SK, Garg S. Experimental study on the effect of welding parameters and tool pin profiles on mechanical properties of the FSW joints. Dimensions. 2013;806:28.",10.1080/01694243.2024.2432392,0.73
"GUIMARÃES, Silvia Tavares Lopes. Trilhas Interpretativas e Vivências na Natureza: aspectos relacionados à percepção e interpretação da paisagem. Caderno de Geografia, v. 20, n. 33, p. 8-19, 2010.",10.55028/pdres.v11i29.21454,0.8
"Rothkopf, Joshua. 2016. “Purple Reign.” Guitar World, August 2016: 52.",10.2478/meiea-2024-0005,0.5
"Hatch, M.H. (1947) The Chelifera and Isopoda of Washington and adjacent regions. University of Washington Publications in Biology, 10, 174–205.",10.11646/zootaxa.5458.3.7,0.47
"Layade GO, Adebo BA, Olurin OT, et al. Separation of regional-residual anomaly using least square polynomial fitting method. JNAMP. 2015;30(0):169-180.",10.1177/21925682241282581,0.56
"Singh HB, Kumar A, Adhikari BS (2021) Status of invasive alien plant species (IAPs) in Arunachal Pradesh, India: a review. Int J Researches Biosci Agric Technol 2021:604–613.",10.1007/s42965-024-00345-w,0.44
"Abd Razak, N. N., Abbas, M. A., Azmi, M. A. A. M., Kamaruzzaman, M. A. H., Chong, A. K., Sulaiman, S. A., Mustafar, M. A., & Hashim, N. M (2023). An Outdoor Terrestrial Laser Scanner Data Quality Assurance: Minimizing Point-Based Self-Calibration Network Configuration. MCRJ Special Issue, 20(3), 203–220.",10.21834/e-bpj.v9i30.6235,0.7
"Montgomery, Thomas, 1976. «Complementarity of stem-vowels in the Spanish second and third conjugation», Romance Philology, 29, 281–296.",10.4000/12zjw,0.5
"Minchev I.N., Minchev Yu.N., Studies on the Dynamics of Machine Assemblies, EKS-PRES Publishing, Gabrovo, 2019, 372 pages.",10.17770/etr2024vol3.8125,0.5
"(EU) 2021/808 of 22 March 2021 on the Performance of Analytical Methods for Residues of Pharmacologically Active Substances Used in Food-Producing Animals and on the Interpretation of Results as Well as on the Methods to be Used for Sampling and Repealing Decisions 2002/657/EC and 98/179/EC. Off. J. Eur. Union., 180, 84-109.",10.3390/foods13081235,0.57
"Mohammed, M.N., Syamsudin, H., Al-Zubaidi, S., AKS, R.R., Yusuf, E.: Novel COVID-19 detection and diagnosis system using IOT based smart helmet. Int. J. Psychosoc. Rehabil.Psychosoc. Rehabil. 24(7), 2296–2303 (2020)",10.1007/s00530-024-01275-2,0.45
"P. Dwivedi, A. A. Waoo, Effective callus induction in Momordica dioica from seed explant, National Journal of Life Sciences, 2021, Vol. 18, No. 1/2, 65-68",10.29121/shodhkosh.v5.i6.2024.1841,0.33
"Bezkorovainy D. O., Zvyagintseva I. M., Mazurenko I. O. Diagnosis of a healthy way of life for students of technical specialties as a way to prevent illness. Collection of scientific works “Physical culture, sports and the health of the nation” Zhytomyr State University named after Ivan Franko. 2017. 4 (23). 152-157.",10.31392/udu-nc.series15.2024.1(173).01,0.29
"Lee, E., Fontaine, A., MacDonald, S.-A. et Caron, R. (2017). Promouvoir une perspective anti-oppressive dans la formation en travail social. Revue Intervention, 145, 7-20.",10.7202/1111610ar,0.6
"Bratchikov S. G., Berman Yu. A., Belotserkovskii Ya. L. etc. Teplotekhnika okuskovaniya zhelezorudnogo syr'ya [Thermal technology of iron-ore raw material pelletizing]. Moscow: Metallurgiya, 1970, 344 p. (In Russ.).",10.32339/0135-5910-2024-6-5-16,0.25
"Morin, Regina. 2002. «Coronal and velar softening in Spanish: theoretical, historical and empirical evidence of lexicalization», Southwest Journal of Linguistics, 21, 1, 136–163.",10.4000/12zjw,1.0
"Zhao, K.J., and Y. Wu. 2020. Study on evolution characteristics and synergy between high-speed railway network and economic network in Chinas provincial center cities: take provincial center cities for example. East China Economic Management 34 (02): 77–85.",10.1007/s44176-024-00028-9,0.67
"D. A. Rojas, L. A. Góngora, and O. L. Ramos, ""EEG signal analysis related to speech process through BCI device EMOTIV, FFT and statistical methods,"" ARPN Journal of Engineering and Applied Sciences, pp. 3074-3080, 2016.",10.58496/adsa/2024/008,0.35
"Qin, C.L., Y. Zhu, and Z. Zhong. 2014. The impact of high-speed railway network on China’s urbanization pattern. Urban Problems 09: 9–15.",10.1007/s44176-024-00028-9,0.5
"Martínez-Cengotitabengoa M, González- Pinto A (2017) Nutritional supplements in depressive disorders. Actas Esp Psiquiatr 45:8–15",10.55544/jrasb.3.2.43,0.25
"A. Jamneshan, O. Shalom, and T. Tao, The structure of totally disconnected Host–Kra–Ziegler factors, and the inverse theorem for the 𝑈^{𝑘} Gowers uniformity norms on finite abelian groups of bounded torsion, Preprint, arXiv:2303.04860, 2022.",10.1090/bproc/229,0.57
"Latifah, N. (2019). Pola Keberagamaan Masyarakat Islam di Lombok Nusa Tenggara Barat. Jurnal Elkatarie, 2(1), 117–145.",10.1080/23311886.2024.2352915,0.5
"CIALDELLA, A. M. 1984. El género Acacia (Leguminosae) en la Argentina. Darwiniana 25: 59-111.",10.31055/1851.2372.v59.n1.40763,0.5
"Pritchard E, Drew D (1913) Congenital œsophageal stenosis. Proc R Soc Med 6:33–35",10.1007/s00383-024-05652-w,0.75
"Sekar KC, Aseesh P, Srivastava S, Giri L (2015) Invasive alien plants of Himachal Pradesh, India. Indian For 141(5):520–527",10.1007/s42965-024-00345-w,0.3
"Akin M, Bozkirli B, Leventoglu S, et al: Liver schwannoma incidentally discovered in a patient with breast cancer. Bratisl Lek Listy 110: 298-300, 2009.",10.59324/ejmhr.2024.2(3).16,0.43
"Guillot, A, Nadrowska, E, Collet, C. Using motor imagery to learn tactical movements in basketball. J Sport Behav 2009;32:189.",10.1515/jirspa-2024-0012,0.44
"Amin SK, Sibak H, El-Sherbiny S, Abadir M (2016) An overview of ceramic wastes management in construction. Int J Appl Eng Res 11(4):2680–2685",10.1007/s41062-024-01498-2,0.29
"Asinowski, A., Banderier, C., Billey, S., Hackl, B., Linusson, S.: Pop-stack sorting and its image: permutations with overlapping runs. Acta. Math. Univ. Comenian. 88, 395–402 (2019)",10.1007/s00493-024-00083-6,0.67
"7. Çilingiroğlu, N. ve Demirel, S. (2004). “Yaşlılık ve Yaşlı Ayrımcılığı”. Turkish Journal of Geriatrics, 7 (4), 225-30.",10.37989/gumussagbil.1273125,0.5
"Xin ZC, Hu HW, Lao ZH, Zhu LQ, Biskup E, Zhang HW. p-CREB-1 at Ser 133 is a potential marker for breast cancer. <italic>Eur Rev Med Pharmacol Sci</italic>. 2020;24:11628-11638.",10.4196/kjpp.2024.28.2.113,0.45
"Sapounakis, A., Tasoulas, I., Tsikouras, P.: On the dominance partial ordering on Dyck paths. J. Integer Seq., 9 (2006)",10.1007/s00493-024-00083-6,0.5
"Vinke, K. & Hoffmann, R. Data for a difficult subject: climate change and human migration. Migr. Policy Pract. J. X, 16–22 (2020).",10.1038/s41558-024-02165-1,0.75
"Humayun Y, Aslam A, Azeem T, Abid AS, Shah MAA, Munir MT, Umar S. (2015). Toxic effects of lead on biochemical and histological features and their amelioration by vitamin E in Japanese quails (Coturnix coturnix japonica). J. Avian Res., 2015; 1(1): 4-9.",10.26538/tjpps/v3i6.6,0.69
"X. Z. Liu, X. C. Ping, Modal analysis and vibration reduction optimization of impact tool crusher[J]. Sci. Technol. Eng. 22(24), 10557–10565 (2022)",10.1007/s41605-024-00498-1,0.57
"Johnson, N. A. & Steiner, D. Mountain bike injury. J. Fam. Pract. 45(3), 192–193 (1997).",10.1038/s41598-024-54774-7,0.33
"Telef, B. B. (2011). The study of teachers’ self-efficacy, job satisfaction, life satisfaction and burnout. Elementary Education Online, 10 (1), 91–108.",10.69918/ejte.1558103,0.6
"Şen, G., & Ersoy, G. (2017). Evaluating the level of knowledge of a hospital disaster relief team about disaster preparedness. Gümüşhane university journal of health sciences, 6(4), 122-130.",10.35341/afet.1462631,1.0
"Tsukimori, H. 2003. Effects of high temperature on the rice production and the technical counter measures in shimane prefecture Japan. Journal of Crop Science 72:434–39.",10.1080/00103624.2024.2440071,0.38
"Forma, Paulina. 2012. „Antynomie funkcji rodziny wielodzietnej”. Pedagogika Rodziny, 2(3): 61-72.",10.14746/tim.2024.36.2.22,0.38
"Soniewicka Marta, „Autonomia prokreacyjna” Pressje, nr 17 (2009): 50-66.",10.36128/priw.vi49.451,0.33
"Y. Huang, C. Cheng, S. Pan, P. Yang, D. Lin and K. Lee, Biomolecules. 9, 1–14 (2019).",10.1080/00268976.2024.2314132,0.0
"Stoop, R., Hohenauer, E., Vetsch, T., Deliens, T. & Clijsen, R. Acute injuries in male elite and amateur mountain bikers: Results of a survey. J. Sports Sci. Med. 18(2), 207–212 (2019).",10.1038/s41598-024-54774-7,0.0
"Makna, S. P., & Amron, A. (2023). Pengaruh Social Media Marketing, Persepsi Harga, dan Citra Merek Terhadap Loyalitas Pelanggan Simcard Tri. Jurnal Mirai Management, 8(1), 224-233.",10.53088/jmdb.v4i2.1018,0.8
"Solichin, M. M. (2012). Kemandirian Pesantren di Era Reformasi. Nuansa, 9(1).",10.47134/ijsl.v5i1.309,0.5
"Quinn PJ (Editor), Markey BK, Leonard FC, Fitzpatrick ES, Fanning S, Hartigan PJ. Veterinary Microbiology and Microbial Disease, UK: John Wiley and Sons Ltd; 27: 300-308. 2011.",10.46810/tdfd.1402193,0.33
"Fallahi Khoshknab M, Oskouie F, Ghazanfari N, Najafi F, Tamizi Z, Afshani S, Azadi G. The frequency, contributing and preventive factors of harassment towards health professionals in Iran. Int J Commun Based Nurs Midwife. 2015;3(3):156–64.",10.1186/s12909-024-05094-x,0.22
"Vagin Yu. E. The Unevenness of Respiratory Rhythm as an Indicator of Emotional Stress. Sechenov Medical J. 2015, no. 2(20), pp. 13–23. (In Russ.)",10.32603/1993-8985-2024-27-4-91-102,0.38
"Raza MW, Shad A, Pedler SJ, Karamat KA. 2005. Penetration and activity of antibiotics in brain abscess. J Coll Physicians Surg Pak 15:165–167.",10.1128/aac.00747-24,0.29
"Anggraeni, Y., & Amron, A. (2024). Fore Coffee Dp Mall Semarang (Studi Kasus: Mahasiswa Perguruan Tinggi Swasta Generasi Z Di Semarang). Arthavidya Jurnal Ilmiah Ekonomi, 26(1), 2579–6070.",10.53088/jmdb.v4i2.1018,0.62
"Agboola DA, Fawibe OO, Ogunyale OG, Ajiboye AA (2014) Botanical and Protein Sweeteners. J Adv Lab Res Biol 5(4):169–187",10.1007/s11248-024-00389-7,0.0
"Akinrotimi OA, Agokei EO, Aranyo AA. Changes in haematological parameters of Tilapia guineensis exposed to different salinity levels. J. Environ Eng. Technol., 2012; 1:4-12.",10.26538/tjpps/v3i6.6,0.58
"J.P. Luminet, Image of a spherical black hole with thin accretion disk. Astron. Astrophys. 75, 228–235 (1979)",10.1140/epjc/s10052-024-12639-3,0.45
"Shichikawa K, Maeda A, Ogawa N. [Clinical evaluation of sodium hyaluronate in the treatment of osteoarthritis of the knee]. Ryumachi 1983; 23: 280-290",10.5312/wjo.v15.i8.704,0.55
"Blistan P, Kovanic L, Zeliznakova V, Palkova J (2016). Using UAV photogrammetry to document rock outcrops. Acta Montan Slovaca, 21(2): 154–161",10.1007/s11707-022-1054-6,0.0
"Isnurhadi, I., Adam, M., Sulastri, S., Andriana, I., & Muizzuddin, M. (2021). Bank capital, efficiency and risk: evidence from Islamic banks. The Journal of Asian Finance, Economics and Business, 8(1), 841–850.",10.1080/23322039.2024.2322889,0.57
"M. Adel, M.M. Kadhim, H.H. Muttashar, S.K. Hachim, S.A. Abdullaha, and A.M. Rheima, J. Chem. Eng. 40, 1433–1439 (2023).",10.1080/00268976.2024.2314132,0.0
"Braithwaite, J. J., Watson, D. G., Jones, R., & Rowe, M. (2013). A guide for analyzing electrodermal activity (EDA) & skin conductance responses (SCRs) for psychological experiments. Psychophysiology, 49(1), 1017–1034.",10.1186/s41239-024-00462-5,0.67
"J. C. Sprott (2020). Do we need more chaos examples? Chaos Theory and Applications, 2(2), 49–51.",10.47836/mjms.18.3.14,0.33
"Prince, and George Lopez. 2011. “Prince Interview.” Lopez Tonight, TBS, April 18, 2011.",10.2478/meiea-2024-0005,0.5
"Dwivedi, P., & Waoo, A. A. (2020). COMPREHENSIVE REVIEW ON IN VITRO CULTURE AND ANTI CANCEROUS ACTIVITY OF MOMORDICA DIOICA. CIBTech Journal of Biotechnology, 9–9, 1–8.",10.29121/shodhkosh.v5.i6.2024.1841,0.5
"Minchev N.D., Minchev N.N., Some Features of Vibrations of an Elastic Rotor with Unbalance. Mechanics of Machines Journal, No. 19, 1997, pp. 66-74.",10.17770/etr2024vol3.8125,0.5
"7. Anna Výrost¬ková, Ján Kepič, Roman Macko, and Viera Homolová, ""Degradation of 0.5Cr-0.5Mo-0.25V steel microstructure during exploitation,"" Mater. Eng. - Materiálové inžinierstvo, 18, 73-78 (2011).",10.15407/pcmm2024.05.108,0.4
"Karaman K, Bakhytzhan A. Prediction of concrete strength from rock properties at the preliminary design stage. J Geomech Eng. 2020;23(2):115–125.",10.1080/10589759.2024.2363998,1.0
Gao H (2006) Decadal variation of the relationship between summer precipitation along the Huaihe River Valley and SST over the equatorial eastern Pacific (in Chinese). J Appl Meteorol Sci 17:1–9,10.1007/s00382-023-07088-9,0.64
"Ma R, Wang L, Peng S, et al. cDNA cloning and expression analysis of three components of SCFCOI1 complex in Hevea brasiliensis. J Rubber Res, 2012, 15: 141–152.",10.1360/ssv-2024-0165,0.42
"19. Köse, G, Ayhan, H, Taştan, S, İyigün, E, Hatipoğlu, S. ve Açıkel C.H. (2015). “Sağlık Alanında Farklı Bölümlerde Öğrenim Gören Öğrencilerin Yaşlı Ayrımcılığına İlişkin Tutumlarının Belirlenmesi”. Gülhane Tıp Dergisi, 57, 145-151.",10.37989/gumussagbil.1273125,0.55
"Kumar, R., & Saha, P. (2022). A review on artificial intelligence and machine learning to improve cancer management and drug discovery. International Journal for Research in Applied Sciences and Biotechnology, 9(3), 149-156.",10.55544/jrasb.3.2.43,0.7
"M. A. Harjianto and D. Kurniawati, “Pengaruh Keterlibatan Pekerjaan, Konflik Pekerjaan-Keluarga Dan Stres Kerja Terhadap Kepuasan Kerja pada Karyawan Wanita Rumah Sakit,” vol. 07, no. 01, 2019.",10.21070/acopen.9.2024.7875,0.92
"Yingxun, W., Zongji, C., Genetic algorithms (GA) based flight path planning with constraints, J. Beijing Univ. Aeronaut. Astronaut.(China), 25(3), 355-358, 1999.",10.17341/gazimmfd.1156817,0.44
"Dickenson P B. Electron microscopical studies of the latex vessel system of Hevea brasiliensis. J Rubb Res Inst Malaya, 1969, 2: 543–559.",10.1360/ssv-2024-0165,0.67
"Patel, A. R., M. L. Patel, R. K. Patel, and B. M. Mote. 2019. Effect of different sowing date on phenology, growth and yield of rice – a review. Plant Archives 19:12–16.",10.1080/00103624.2024.2440071,0.45
"Applegate, K. E. & Spiegel, P. K. Ulnar artery occlusion in mountain bikers. J. Sports Med. Phys. Fit. 35(3), 232–234 (1995).",10.1038/s41598-024-54774-7,0.22
"Patel, V. & Anikar, M. Prosthetic fixation of beak in a green cheek conure (Pyrrhura molinae) using telemedicine. Pharma Innov. J. 10(1), 585–588 (2021).",10.1038/s41598-024-58762-9,0.0
"15. L. M. Svirska, H. V. Krechkovska, and O. Z. Student, ""Cyclic crack resistance of 12Kh1MF steel of various tension zones of TPP steam pipe after long-term operation,"" Visnyk Ternopilskogo Natsionalnogo Universytetu [in Uktainian], Is. 4, 27-34 (2015).",10.15407/pcmm2024.05.108,0.0
Sarn .K.S & Bhambri .E (2018) . Exploring gender differences in sleep quality and aggression: A comparative study. Int J Appl Res;4(11):293-296.,10.55860/fyhdb993,0.0
"M. Li, H. Xu, X. Liu, and S. Lu. 2018. Emotion recognition from multichannel EEG signals using k-nearest neighbor classification. Technol. Health Care 26, S1 (2018).",10.1145/3663669,0.0
"Bian, Y.C., L. Wu, and J. Bai. 2019. Does High-speed Rail Improve Regional Innovation in China? Journal of Financial Research 06: 132–149.",10.1007/s44176-024-00028-9,0.0
"Tian W M, Shi M J, Yu F Y, et al. Localized effects of mechanical wounding and exogenous jasmonic acid on the induction of secondary laticifer differentiation in relation to the distribution of jasmonic acid in Hevea brasiliensis. Acta Bot Sin, 2003, 45: 1366–1372.",10.1360/ssv-2024-0165,0.9
"Madaan, R., Gyde, N., Vemprala, S., Brown, M., Nagami, K., Taubner, T., Cristofalo, E., Scaramuzza, D., Schwager, M., Kapoor, A., Airsim drone racing lab, NeurIPS 2019 Competition and Demonstration Track, PMLR, 177-191, 2020.",10.17341/gazimmfd.1156817,0.5
"Rutkowska K & Gierczuk D. (2014). Locus of Control in Specific Sports Situation in Beginner Wrestlers. Journal of Martial Arts Anthropology, 14(3), 33-41.",10.55860/fyhdb993,0.43
"Barlas Z, Ozsarac U. Effects of FSW parameters on joint properties of AlMg3 alloy. Weld J. 2012;91(1):16S–22S.",10.1080/01694243.2024.2432392,0.3
"Erdoğan, N. (2000). Devleti idare etmek: maduniyet ve düzenbazlık. Toplum ve Bilim Dergisi, 83, 8-31.",10.30561/sinopusd.1469956,0.25
"Pan-cancer analysis of whole genomes, Nature 578(7793) (2020) 82-93.",10.1016/j.critrevonc.2024.104349,0.44
"Gao JF, Liu CS. 2010. Overview of research on the medicinal resources of conman Magnolcavine fruit. Guide China Med. 8:66–69.",10.1080/23802359.2024.2437099,1.0
"Wroński Konrad, Roman Bocian, Adam Depta, Jarosław Cywiński, Adam Dziki, „Opinie pacjentów na temat modelu paternalistycznego w relacji lekarz-pacjent. Prawne aspekty autonomii pacjenta w opiece zdrowotnej” Nowotwory. Journal of Oncology, nr 4 (2009): 266-273.",10.36128/priw.vi49.451,0.0
"Mohamed RA, Abdelsalam EB. A review on Pneumonic Pasteurellosis (Respiratory Mannheimiosis) with emphasis on pathogenesis, virulence mechanisms and predisposing factors. Bulg J Vet Med. 2008; 11 (3): 139-60.",10.46810/tdfd.1402193,0.75
"Rivero, María Luisa, 2010. «Los verbos psicológicos con experimentante dativo en español y el cambio histórico», Cuadernos de la ALFAL, 1, 167–193.",10.4000/12zjw,0.29
"Chen YL, Tan JJ, Lu LL, Tan CH, Jiang SH, Zhu DY. Water-soluble constituents of Clerodendranthus spicatus. Chin Tradit Herbal Drugs. 2009;40(5):689–693.",10.1080/14756366.2023.2296355,0.27
"Mariano, K. L. P., A. María Suárez Romero, C. Correa Neto Ribeiro. 2015. “Percepções governamentais sobre a integração regional na América do Sul.” Boletim de Economia e Política Internacional, no. 21: 33–43.",10.1080/08263663.2024.2344316,0.71
"Prasad, A., & Prasad, P. (1998). “Everyday struggles at the workplace: The nature and implications of routine resistance in contemporary organizations.” Research in the Sociology of Organizations, 15, 225-257.",10.30561/sinopusd.1469956,0.5
"Savchenko V. V., Suzdaltsev D. A., Korolev V. A., Komrakov D. Yu. Comparative Analysis of Contact and Noncontact Technologies for Human Physiological State Monitoring. Biotechnosphere. 2014, no. 1–2 (31–32), pp. 18–23. (In Russ.)",10.32603/1993-8985-2024-27-4-91-102,0.5
"Hemid AFA, Abd El-Gaward AH, El-Wardany I, El-Daly EF, Abd El-Azeem NA. Alleviating effects of some environmental stress factors on productive performance in Japanese quail laying performance. World J. Agric Sci., 2010; 6:517–524.",10.26538/tjpps/v3i6.6,0.38
"Park, M. K., 2020, Prediction for habitat possibilities of potential risk species (Amphibians) using bio-climate in Korea National Park, Journal of National Park, 11(1), 32-34.",10.5322/jesi.2024.33.11.863,0.38
"Aibinu I, Adenipekun T, Adelowotan T, Ogunsanya T, Odugbemi T. Evaluation of the antimicrobial properties of different parts of Citrus aurantifolia (lime fruit) as used locally. Afr J Traditional Complement Altern Med. 2007;4(2):185.",10.1186/s13065-024-01162-x,0.1
"Retnowulan, J. (2017). Pengaruh kualitas produk dan persepsi harga terhadap Minat beli Smartphone Xiaomi. Cakrawala-Jurnal Humaniora, 17(2), 139–145.",10.53088/jmdb.v4i2.1018,0.77
"Jha AK, Shiresha N, NarayanaMurty SVS, et al. Ballistic impact testing of AA2219 aluminium alloy welded plates and their metallurgical characterisation. Indian J Eng Mater Sci. 2005;12:221.",10.1080/01694243.2024.2432392,0.62
"Chen, H.; Yang, G.; Liao, X.; Bao, Z.; Zhan, X. Crystal Structure and Anti-lung Cancer Activity of Novel Pyran Derivatives from Traditional Chinese Medicine. Lat. Am. J. Pharm. 2018, 37, 359–362.",10.1515/ncrs-2024-0344,0.64
"[28] M. Shimomura, Biomimetics in anthropocene: Towards empathetic “Unwelt”, J. Soc. Instrum. Control Eng. 61 (2022) 4–8 (in Japanese).",10.4164/sptj.61.213,0.33
Khan Z (2016) An exploration of prisoners’ perceptions of the incentives and earned privileges scheme: The role of legitimacy. Prison Service Journal 227: 11–16.,10.1177/14773708241255513,0.5
"Dubovik, V. & Cheshkov, A. Multipole expansion in classical and quantum field theory and radiation. Sov. J. Part. Nucl. 5, 318 (1975).",10.1038/s41598-024-66848-7,0.75
"27. İşcan A. ve Evcimen H. (2018). “Yaşlı Bakım Programı Öğrencilerinin Yaşlı Ayrımcılığına İlişkin Tutumlarının Belirlenmesi”. İnönü Üniversitesi Sağlık Hizmetleri Meslek Yüksekokulu Dergisi, 6 (2), 14-24.",10.37989/gumussagbil.1273125,0.5
"Konate, K., N’ganzoua, R.K., Bizro, G.F., Bakayoko, S., Camara, M., 2022. Effet de différentes doses de compost de fiente de poulet sur la fertilité des sols et les paramètres agronomiques de la laitue (Lactuca sativa L.). Agron. Afr. 34(1), 117–131.",10.1016/j.jssas.2024.08.005,0.55
"Zhang S, Tian W. Cross talk between cytokinin and jasmonates in regulating the secondary laticifer differentiation in rubber tree (Hevea brasiliensis Muell. Arg.). J Rubber Res, 2015, 18: 38–48.",10.1360/ssv-2024-0165,0.55
"Cam D. H., Phuong N., Tri L. D. Potential of kaolin in the Northeast region and its use in industries. Journal of Geology. 2006;A/297:30–37. (In Vietnamese)",10.17073/2500-0632-2023-12-189,0.33
"Kang C, Xia Q, Zhang B (2004) Review of power system load forecasting and its development. Autom Elect Power Syst 28(17):1–11",10.1007/s11227-024-06485-z,0.38
"Micheli, Robin. 2016. “The Fight for His Artistic Rights.” People, May 2016: 58.",10.2478/meiea-2024-0005,0.25
"Emeje, M. O., Ofoefule, S.I., Nnaji, A.C., Ofoefule, A.U., and Brown, S.A. . (2010). Quantitative determination of potassium bromate and lead. African Journal of Food Science,, 4(6): , 394-397.",10.21048/ijnd.2024.61.1.34925,0.0
"Hadj Y.; Abbache A.; Sid A.M.; Abdelouahed T.; Muzamal H.; Nonlinear damping and forced vibration analysis of laminated composite plates with composite viscoelastic core layer. Steel Compos Struct 2022,44,91-104",10.2174/0126661454308143240529060134,0.86
"[1] K. Tsurumi, Fujitsubo yoshoku gijyutu no kaihatsu, Yutakanaumi 40 (2016) 3–7 (in Japanese).",10.4164/sptj.61.213,0.33
"Demissie T, Dawo F, Sisay T. Biochemical and antigenic characterization of Mannheimia, pasteurella and Mycoplasma species from naturally infected pneumonic sheep and goats, Bishoftu, Ethiopia. AJBAS. 2014; 6 (6): 198-204.",10.46810/tdfd.1402193,0.29
"29. Adıbelli, D, Türkoğlu, N. ve Kılıç, D. (2013). “Öğrenci Hemşirelerin Yaşlılığa İlişkin Görüşleri ve Yaşlılara Karşı Tutumları”. Dokuz Eylül Üniversitesi Hemşirelik Fakültesi Elektronik Dergisi, 6 (1), 2-8.",10.37989/gumussagbil.1273125,0.62
"Bind, A., Das, S., Singh, V. D., Kumar, R., Chourasia, A., & Saha, P. (2020). Natural bioactives for the potential management of gastric ulceration. Turkish Journal of Physiotherapy and Rehabilitation, 32(3), 221-226.",10.55544/jrasb.3.2.43,0.5
"Souza A, Lamidi M, Ibrahim B, Aworet S, Boukandou M, Batchi B. Antihypertensive effect of an aqueous extract of Citrus aurantifolia (Rutaceae)(Christm.) Swingle, on the arterial blood pressure of mammal. Int Res Pharm Pharmacol. 2011;1(7):142–8.",10.1186/s13065-024-01162-x,0.56
"Özbey G, Muz A. Pnömonili Koyun ve Keçilerin Akciğerlerinden Aerobik Bakteri izolasyonları ve İzole Pasteurella multocida ve Mannheimia haemolytica’nın Polimeraz Zincir Reaksiyonu ile Saptanması. Turk J Vet Anim Sci. 2004; 28: 209-16.",10.46810/tdfd.1402193,0.38
"Wu Y, Doepner M, Hojnacki T, et al. Disruption of the menin-mll interaction triggers menin protein degradation via ubiquitin-proteasome pathway. Am J Cancer Res. 2019;9(8):1682–1694.",10.1080/17501911.2024.2430169,0.36
Rozhavin MA. [Biological properties of melanin (Pseudomonas aeruginosa)]. Zh Mikrobiol Epidemiol Immunobiol. 1983;1:45–47.,10.1080/15476286.2024.2431781,0.5
