id,veredicto,venue,nota,ref
27,EXISTE,Revue Geo-Eco-Trop,revista no indexada,
28,EXISTE,Teacher Education Quarterly (ERIC),"existe, EJ1328005",
29,EXISTE,Plant Science Journal (China),"título exacto hallado, no indexada",
30,EXISTE,J Quantitative & Technological Econ,revista china no indexada,
32,AMBIGUO,Rare Metal Mater Eng,cita SOLO-AUTOR sin título: inverificable por título,
33,EXISTE,Geomechanics and Engineering,existe (KoreaScience),
45,SIN-TITULO,J Chin Soc Corros Prot,cita solo-autor; revista real; inverificable por título,
46,SIN-TITULO,J Market Res,cita solo-autor; inverificable por título,
65,SIN-TITULO,UNEC J Eng Appl Sci,cita solo-autor; inverificable por título,
84,SIN-TITULO,J Mater Eng,cita solo-autor; inverificable por título,
85,SIN-TITULO,Rare Met Mater Eng,cita solo-autor; inverificable por título,
86,SIN-TITULO,Rare Met Mater Eng,cita solo-autor; inverificable por título,
88,SIN-TITULO,Rare Met Mater Eng,cita solo-autor; inverificable por título,
91,SIN-TITULO,Chin J Nonferrous Met,cita solo-autor; inverificable por título,
94,SIN-TITULO,Mater Rep,cita solo-autor; inverificable por título,
35,EXISTE,Agronomie Africaine (AJOL),revista africana no indexada,
36,EXISTE,IJTSRD,revista india no indexada,
38,EXISTE,IJRAR,revista india no indexada (cluster pharma),
39,EXISTE,Physical Review D,"preprint arXiv real, falso negativo matching",
40,EXISTE,Logistics Sci-Tech,revista china no indexada,
41,AMBIGUO,J Commercial Economics (China),revista china real; artículo no confirmable por web,
43,EXISTE,Olva Academy,revista tanzana no indexada,
48,EXISTE,IJARBSS (HRMARS),revista malasia no indexada; venue en cita era abreviado,
42,EXISTE,Journal of Management (China),revista china no indexada,
50,EXISTE,Turkish Scientific Researches Journal,revista turca no indexada,
51,EXISTE,Northwestern Geology / Open Geosciences,existe,
53,EXISTE,Int J Indian Psychology,revista india no indexada,
54,EXISTE,Jurnal Pendidikan Tambusai,revista indonesia no indexada,
56,EXISTE,World J Pharm Pharm Sci,revista no indexada (cluster pharma),
57,EXISTE,CBOS (K_163_20),"informe polaco real, no es artículo",
59,EXISTE,Nature (DOI 10.1038/s41586-020-1969-6),"FALSO NEGATIVO: Nature, cita empieza por título sin autor",
55,EXISTE,Structural Engineering and Mechanics,"techno-press, falso negativo (grupo Tounsi)",
58,EXISTE,National Journal of Life Sciences,revista india no indexada,
60,EXISTE,JRASB (DOI 10.55544),"revista india, tiene DOI — falso negativo",
61,AMBIGUO,Journal of National Park (Korea),revista coreana; artículo no confirmable por web,
62,EXISTE,The Pharma Innovation Journal,revista india no indexada,
63,EXISTE,Academic Platform J Educ and Change,revista turca no indexada,
64,EXISTE,Políticas y debates públicos (PUCP),"documento institucional real, no artículo",
67,EXISTE,IJRAR,revista india no indexada (cluster pharma),
66,AMBIGUO,J Commercial Economics (China),revista china real; artículo no confirmable por web,
68,EXISTE,Afrique Science,revista africana no indexada,
69,EXISTE,Jurnal Kesehatan Masyarakat (DOI 10.14710),"tiene DOI, falso negativo",
70,EXISTE,Annals Romanian Soc Cell Biology,revista deslistada (predatoria),
71,EXISTE,IJRASB,revista india no indexada (cluster pharma),
72,EXISTE,World J Pharm Pharm Sci,revista no indexada (cluster pharma),
73,EXISTE,J Korean Soc Environ Restoration Tech,existe (KoreaScience),
74,AMBIGUO,Int J Researches Biosci Agric Technol,revista oscura; artículo no confirmable por web,
75,EXISTE,Philosophy and Public Issues,existe (academia.edu/PhilPapers),
77,EXISTE,PalArch J Archaeology Egypt,revista no indexada,
78,EXISTE,Usuteaduslik Ajakiri (Estonia),revista estonia no indexada,
79,EXISTE,American Family Physician,indexada; cita abreviada — falso negativo,
76,EXISTE,Management World (China),revista china no indexada,
80,EXISTE,Journal of Agrometeorology (India),revista no indexada,
81,EXISTE,Migration Policy Practice (IOM),publicación institucional real,
82,EXISTE,Wetland Science (China),revista china no indexada,
83,EXISTE,Journal of Buddhist Studies (HK),revista no indexada,
87,AMBIGUO,Sci Technol Eng (China),revista china real; artículo no confirmable por web,
89,EXISTE,Eur Rev Med Pharmacol Sci (PMID 33275230),indexada PubMed — falso negativo,
90,EXISTE,"Soft Science (China, DOI 10.13956)","revista china, tiene DOI — falso negativo",
92,EXISTE,bioRxiv 2024.04.24.590974,preprint real (Tagliabracci lab),
93,AMBIGUO,Inquiry Into Economic Issues (China),revista china real; artículo no confirmable,
95,EXISTE,Chinese Journal of Veterinary Science,revista china no indexada,
96,AMBIGUO,Industrial Economics Research (China),revista china real; artículo no confirmable,
97,AMBIGUO,Inquiry into Economic Issues (China),revista china real; artículo no confirmable,
100,EXISTE,WMJ (PMID 37141477),indexada PubMed — falso negativo,
101,EXISTE,J Soc Instrument Control Eng (Japan),revista japonesa no indexada,
25,SIN-TITULO,S Afr J Bot,reclasificado: cita solo-autor sin título,
98,EXISTE,Economic Research Journal (China),revista china no indexada,
99,AMBIGUO,East China Economic Management,revista china real; artículo no confirmable,
26,EXISTE,Steel Compos Struct (DOI 10.12989),"techno-press, falso negativo (grupo Tounsi)",
