referencia,estado,fuente,doi,titulo_encontrado,autor_encontrado,anio_referencia,anio_encontrado,retractada,score_titulo,detalle
"FeCrAl plasticity, n.d.. 〈Https://MooseframeworkInlGov/Bison/Source/Materials/Tensor_mechanics/FeCrAlPowerLawHardeningStressUpdateHtml〉 .",NO VERIFICABLE,,,,,,,,0.33,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Jacques, HAVR. The psychology of concentration in sport performers: a cognitive analysis. High Abil Stud 1998;9:125.",METADATOS DUDOSOS,Crossref,10.4324/9781315784946-1,Cognitive sport psychology,,1998,2016,NO,1.0,Año citado (1998) no coincide con el registrado (2016)
France Ministère de l′Écologie. (2020). Plan National d’Actions Esturgeon Européen 2020-2029.,NO VERIFICABLE,,,,,2020,,,0.4,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Griffiths, D. J. Introduction to Electrodynamics (Pearson, 2013).",METADATOS DUDOSOS,Crossref,10.1017/9781108333511,Introduction to Electrodynamics,Griffiths,2013,2017,NO,1.0,Año citado (2013) no coincide con el registrado (2017)
"Borst MJ, Ingold JA. Metastatic patterns of invasive lobular versus invasive ductal carcinoma of the breast. Surgery. 1993, 114:637-41.",METADATOS DUDOSOS,Crossref,10.32388/wn7zzd,Invasive Ductal and Invasive Lobular Breast Carcinoma,,1993,2020,NO,1.0,Año citado (1993) no coincide con el registrado (2020)
Imansyah N. (2019). NTB-Uzbekistan Kerja Sama Wisata Halal. Antara News. https://www.antaranews.com/berita/925631/ntb-uzbekistan-kerja-sama-wisatahalal#mobile-nav,NO VERIFICABLE,,,,,2019,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"The Economic Times (2024, August 12). What is Marxism?. Available online: https://economictimes.indiatimes.com/definition/marxism.",NO VERIFICABLE,,,,,2024,,,0.33,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
OSF . 2023 Data from: Generalizability of foot-placement control strategies during unperturbed and perturbed gait. OSF. https://osf.io/gv5tq/?view_only=858243326d374cd3ba6ddd157195d02f,VERIFICADA,Crossref,10.1098/rsos.231210/v1/review2,"Review for ""Generalizability of foot placement control strategies during unperturbed and perturbed gait""",,2023,2023,NO,0.9,
Association of University Presses. (n.d.). About University Presses. https://aupresses.org/the-value-of-university-presses/about-university-presses/,NO VERIFICABLE,,,,,,,,0.67,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
Bureau of Reclamation. 2022 Drought Response Operations Plan. 2022 p. 85.,NO VERIFICABLE,,,,,2022,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Grahnke K, Garst JR, Martin B, Leonetti JP, Anderson DE. Prognostic indices for predicting facial nerve outcome following the resection of large acoustic neuromas. J Neurol Surg B Skull Base. 2017;78(6):454–460.",VERIFICADA,Crossref,10.1055/s-0037-1604077,Prognostic Indices for Predicting Facial Nerve Outcome following the Resection of Large Acoustic Neuromas,Grahnke,2017,2017,NO,1.0,
"(2013, April 01). PANGeA—Physical Activity and Nutrition for Quality Ageing—Full Text View—ClinicalTrials.gov n.d., Available online: https://classic.clinicaltrials.gov/ct2/show/NCT04899531.",NO VERIFICABLE,,,,,2013,,,0.17,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"International Association of Water Law (2024, August 12). About Us. Available online: https://www.aida-waterlaw.org/.",NO VERIFICABLE,,,,,2024,,,0.33,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Pegelow E, Borys D, Gummin D, Laubach E (2016) Clinical toxicity following suvorexant ingestion. Clin Toxicol 54:759–760",NO VERIFICABLE,,,,,2016,,,0.33,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Quennedey, A., Aribi, N., Everaerts, C. and Delbecque, J.-P., 1995. Postembryonic development of Zophobas atratus Fab. (Coleoptera: Tenebrionidae) under crowded or isolated conditions and effects of juvenile hormone analogue applications. Journal of Insect Physiology 41: 143-152. https://doi.org/10.1016/0022-1910(94)00091-T",VERIFICADA,Crossref,10.1016/0022-1910(94)00091-t,Postembryonic development of Zophobas atratus Fab. (Coleoptera: Tenebrionidae) under crowded or isolated conditions and effects of juvenile hormone analogue applications,Quennedey,1995,1995,NO,1.0,
"Haack, S. Deviant Logic, Fuzzy Logic: Beyond the Formalism, Chicago Press, Amamzon, 1996.",VERIFICADA,Crossref,10.2307/2998452,"Deviant Logic, Fuzzy Logic: Beyond the Formalism.",Varzi,1996,1998,NO,1.0,
"Song J , Sigward S , Fisher B , Salem GJ . 2012 Altered dynamic postural control during step turning in persons with early-stage Parkinson’s disease. Parkinsons Dis. 2012 , 386962. (doi:10.1155/2012/386962)",VERIFICADA,Crossref,10.1155/2012/386962,Altered Dynamic Postural Control during Step Turning in Persons with Early-Stage Parkinson’s Disease,Song,2012,2012,NO,1.0,
"Wong RH, Copeland WR, Jacob JT, Anterior extension of tumor is as important as tumor size to facial nerve outcome and extent of resection for vestibular schwannomas. J Neurol Surg B Skull Base. 2017;78(6):473–480.",VERIFICADA,Crossref,10.1055/s-0037-1604331,Anterior Extension of Tumor is as Important as Tumor Size to Facial Nerve Outcome and Extent of Resection for Vestibular Schwannomas,Wong,2017,2017,NO,1.0,
"Kiurski, J. 2010. Alternativne krivične sankcije u KZ Srbije i standardi Evropske unije. U: Bejatović, S. (ur.), Krivično zakonodavstvo Srbije i standardi Evropske unije. Beograd: Srpsko udruženje za krivičnopravnu teoriju i praksu, pp. 80-91.",NO VERIFICABLE,,,,,2010,,,0.4,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"BRASIL. Lei nº 13.104, de 9 de março de 2015. Altera o art. 121 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, para prever o feminicídio como circunstância qualificadora do crime de homicídio. Disponível em: http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/L13104.htm. Acesso em 20 fev. 2021.",NO VERIFICABLE,,,,,2015,,,0.9,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
Wilinski B (2017b) Knowing and interpreting prekindergarten policy: A Bakhtinian analysis. Education Policy Analysis Archives 25(27): 1–31. doi:10.14507/epaa.25.2211,VERIFICADA,Crossref,10.14507/epaa.25.2211,Knowing and interpreting prekindergarten policy: A Bakhtinian analysis,Wilinski,,2017,NO,1.0,
United States (US) Census Bureau. 2022. Quick facts. https://www.census.gov/quickfacts/.,NO VERIFICABLE,,,,,2022,,,0.36,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Payne, R., and Green, P. (1998). Fitting non-Gaussian time series models. COMPSTAT 1998: Proceedings in Computational Statistics, Physica Verlag.",VERIFICADA,Crossref,10.1007/978-3-662-01131-7_20,Fitting Non-Gaussian Time Series Models,Benjamin,1998,1998,NO,1.0,
"Пастушенко Л. И. ""Немецкий Икар в ненастье"": Я. М. Р. Ленц и судьбы программного идеализма // XVIII век: искусство жить и жизнь искусства: сб. науч. работ. Отв. ред. Н. Т. Пахсарьян. М.: МГУ им. М. В. Ломоносова, 2004. С. 232-243.",NO VERIFICABLE,,,,,2004,,,0.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Adler, Eve. 2003. Vergil’s Empire: Political Thought in the Aeneid. Lanham, Maryland: Rowman and Littlefield.",NO VERIFICABLE,,,,,2003,,,0.4,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Yang, C.Z., and Wan, W.J. (2011, January 23–24). Finite Element Analysis on High Embankment of Widened Road. Proceedings of the MEIME 2011, Beijing, China.",VERIFICADA,Crossref,10.4028/www.scientific.net/amm.63-64.770,Finite Element Analysis on High Embankment of Widened Road,Yang,2011,2011,NO,1.0,
"RStudio Team (2024, June 22). RStudio: Integrated Development for R. Available online: https://www.rstudio.com.",NO VERIFICABLE,,,,,2024,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Khosla R, Willoughby CP, Jewell DP (1984) Crohn’s disease and pregnancy Gut 25:52–56",VERIFICADA,Crossref,10.1136/gut.25.1.52,Crohn's disease and pregnancy.,Khosla,1984,1984,NO,1.0,
"Das, S., & Namasudra, S. (2022). A lightweight and anonymous mutual authentication scheme for medical big data in distributed smart healthcare systems. IEEE/ACM Transactions on Computational Biology and Bioinformatics,",VERIFICADA,Crossref,10.1109/tcbb.2022.3230053,A Lightweight and Anonymous Mutual Authentication Scheme for Medical Big Data in Distributed Smart Healthcare Systems,Das,2022,2024,NO,1.0,
"Liu M, Bai X, Yu S, Zhao W, Qiao J, Liu Y, et al. Ginsenoside Re inhibits ROS/ASK-1 dependent mitochondrial apoptosis pathway and activation of Nrf2-antioxidant response in beta-amyloid-challenged SH-SY5Y cells. Mol Basel Switz. 2019;24:2687.",VERIFICADA,Crossref,10.3390/molecules24152687,Ginsenoside Re Inhibits ROS/ASK-1 Dependent Mitochondrial Apoptosis Pathway and Activation of Nrf2-Antioxidant Response in Beta-Amyloid-Challenged SH-SY5Y Cells,Liu,2019,2019,NO,1.0,
"Ginsburg A., & Mirocha J. 2011, PySpecKit: Python Spectroscopic Toolkit, Astrophysics Source Code Library [record ascl:1109.001]",VERIFICADA,Crossref,10.7554/elife.35112.025,Source code 1. Python script source code.,,2011,,NO,0.83,
"Nowacki, D., Stevens, A., Vanarendonk, N.R., and Grossman, E. (2022, July 11). Time-Series Measurements of Pressure, Conductivity, Temperature, and Water Level Collected in Puget Sound and Bellingham Bay, Washington, USA, 2018 to 2021: U.S. Geological Survey Data Release, Available online: https://cmgds.marine.usgs.gov/data-releases/datarelease/10.5066-P9JTFJ6M/.",NO VERIFICABLE,,,,,2022,,,0.56,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"<small>WERNER, W.</small> and <small>POWELL, E.</small> (2021). <i>Lecture Notes on the Gaussian Free Field</i>. <i>Cours Spécialisés</i> [<i>Specialized Courses</i>] <b>28</b>. Société Mathématique de France, Paris.",VERIFICADA,Crossref,10.1002/smll.202170144,Masthead: (Small 28/2021),,2021,2021,NO,0.67,
Ministry of Justice (2022) Incentives Policy Framework. London: HM Stationary Office.,NO VERIFICABLE,,,,,2022,,,0.21,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
U.S. Energy Information Administration's. International Energy Outlook 2017 (IEO2017). Accessed 16 Sept 2022. https://www.eia.gov/todayinenergy.,NO VERIFICABLE,,,,,2017,,,0.33,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Katz, Jerrold. 1981. Language and other abstract objects. Totowa, NJ: Rowman & Littlefield.",METADATOS DUDOSOS,Crossref,10.1086/289174,"J. J. Katz <b>Language and Other Abstract Objects</b>, Totowa, NJ: Rowman &amp; Littlefield (1981), ix + 251 pp. $9.95",Dillinger,1981,1984,NO,1.0,Año citado (1981) no coincide con el registrado (1984)
"Santilli V, Bernetti A, Mangone M, Paoloni M. Clinical definition of sarcopenia. Clin Cases Miner Bone Metab. 2014;11:177–180. PubMed ID: 25568649",VERIFICADA,Crossref,10.11138/ccmbm/2014.11.3.177,Clinical definition of sarcopenia,Santilli,2014,2014,NO,1.0,
Miller C. Nursing for Wellness in older adults. 5th ed. Philadelphia: Lippincot Williams & Wilkins; 2009.,VERIFICADA,Crossref,10.1097/01.nur.0000343075.27343.9b,Nursing for Wellness in Older Adults,Schumacher,2009,2009,NO,1.0,
"HIES (Household Income and Expenditure Survey), (2016). Comparative Matrix of Household Income and Expenditure Sur vey (HIES) (2005–2016), Bangladesh Bureau of Statistics (BBS), Statistics and Informatics Division (SID), Ministry of Planning, Dhaka Bangladesh. https:// bbs. portal. gov. bd/ sites/ defau lt/ files/ f iles/ bbs. portal. gov. bd/ page/ 5695a b85_1403_483a_afb4_26dfd 767df18/Comparative%20Matrix%20HIES_fnl.pdf.",NO VERIFICABLE,,,,,2016,,,0.44,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
Pavlov I (1927) Conditioned Reflexes. Oxford: Oxford University Press.,NO VERIFICABLE,,,,,1927,,,0.54,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Quezada Díaz, G. (2016). Monografía: Desplazamiento forzado intraurbano en las ciudades de Medellín, Bogotá, CaIi e Ibagué y sus efectos psicosociales. [Trabajo de grado, Universidad Nacional Abierta y a Distancia]. https://repository.unad.edu.co/handle/10596/12872",NO VERIFICABLE,,,,,2016,,,0.11,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Blánquez Fraile, Agustín, 1985. Diccionario Latino-Español Español-Latino, Barcelona, Sopena.",NO VERIFICABLE,,,,,1985,,,0.33,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Bandura A (1991) Social cognitive theory of moral thought and action. In: WM Kurtines & JL Gewirtz (eds.), Handbook of Moral Behavior and Development L. Erlbaum, (pp. 1-45)",METADATOS DUDOSOS,Crossref,10.4324/9780203763070,Handbook of Moral Behavior and Development,,1991,2013,NO,1.0,Año citado (1991) no coincide con el registrado (2013)
"11. Filenko, V.A., Ponomarev, A.K., Gormatin, V.I., Ovchinnikova, T.M. Morphological characteristics of the African clary catfish Clarias gariepinus (Burchell) of the Mikhailovskaya breed. Bulletin of Kerch State Marine Technological University, 2022, no. 3, pp. 53-72 (in Russian).",NO VERIFICABLE,,,,,2022,,,0.62,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Steiner-Khamsi, G. 2023. “Wie Innovationen entstehen und wie sie wieder verschwinden [How Innovations Occur and How They Fade Away]. Keynote Presentation of June 29.” At the 2023 joint annual conference of the Swiss Society for Research in Education and the Swiss Society for Teacher Education, Zurich. PHZH.",NO VERIFICABLE,,,,,2023,,,0.55,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
Tone K.2003.Dealing With Undesirable Outputs in DEA: A Slacks‐Based Measure (SBM) Approach.,METADATOS DUDOSOS,Crossref,10.1016/j.omega.2009.07.003,Dynamic DEA: A slacks-based measure approach☆,Tone,2003,2010,NO,0.8,Año citado (2003) no coincide con el registrado (2010)
“PR48‐Clear Clear Prototyping Material Technical Data Sheet ” can be found underhttps://2074//cpspolymers.com/PR48TDS.pdf. (accessed: June 2023).,METADATOS DUDOSOS,Crossref,10.12968/s1356-9252(24)40089-0,"Clear Data, Clear Journeys",,2074,2023,NO,0.75,Año citado (2074) no coincide con el registrado (2023)
"Bir C, Ortez M, Olynk Widmar NJ, Wolf CA, Hansen C, Ouedraogo FB. Familiarity and use of veterinary services by US resident dog and cat owners. Animals (Basel). 2020;10(3):483. doi:10.3390/ani10030483",VERIFICADA,Crossref,10.3390/ani10030483,Familiarity and Use of Veterinary Services by US Resident Dog and Cat Owners,Bir,2020,2020,NO,1.0,
"Bouček Z, Rasplus JY (1991) Illustrated keys to West Palearctic genera of Pteromalidae (Hymenopteran, Chalcidoidae. Institut National de la RechercheAgronomique, Paris pp. 153",NO VERIFICABLE,,,,,1991,,,0.33,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Lawrie RA. Lawrie’s Meat Science. 6th Edition, Woodhead Publishing Ltd., Cambridge, England, 1998; 336.",METADATOS DUDOSOS,Crossref,10.1201/9781439833094,"Lawrie's meat science, Seventh Edition",,1998,2006,NO,0.8,Año citado (1998) no coincide con el registrado (2006)
"NRC. Quail. In: Micro-livestock’s – Little known small animals with a promising economic future. National Research Council, Academy Press, Washington D.C. 1991; 147-155p.",NO VERIFICABLE,,,,,1991,,,0.89,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Li, T., Y. Yu, B. An, Y. Luan, and K. Chen, 2023: Tropical instability waves in a high-resolution oceanic and coupled GCM. Ocean Modell., 182, 102169, https://doi.org/10.1016/j.ocemod.2023.102169.",VERIFICADA,Crossref,10.1016/j.ocemod.2023.102169,Tropical instability waves in a high-resolution oceanic and coupled GCM,Li,2023,2023,NO,1.0,
"Vapnik V, Golowich S, Smola A (1996) Support vector method for function approximation, regression estimation and signal processing. Adv Neural Inf Process Syst MIT Press 9. https://proceedings.neurips.cc/paper_files/paper/1996/file/4f284803bd0966cc24fa8683a34afc6e-Paper.pdf",VERIFICADA,Crossref,10.1007/978-1-4615-5703-6_3,The Support Vector Method of Function Estimation,Vapnik,1996,1998,NO,1.0,
"Zadeh, L. A. Precisiated natural language AI magazine, vol. 25, No. 3: Fall 2004.",VERIFICADA,Crossref,10.1007/978-3-540-37522-7_2,Precisiated Natural Language,Zadeh,2004,,NO,1.0,
"Board for the Authorization of Pesticides (1999) Wageningen, The Netherlands, ; http://www.ctb-wageningen.nl/files/12063_02.html",NO VERIFICABLE,,,,,1999,,,0.21,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Froese, R., & Pauly, D.: FishBase, World Wide Web electronic publication. www.fishbase.org.",NO VERIFICABLE,,,,,,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Bandura, A. (1977). Social learning theory (Vol. 1). Englewood cliffs Prentice Hall.",NO VERIFICABLE,,,,,1977,,,0.82,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"OpenDataPhilly, 2016b. Green Stormwater Infrastructure Private Projects.",VERIFICADA,Crossref,10.1002/9781119339786.ch1,Introduction to Urban Stormwater and Green Stormwater Infrastructure,,,2022,NO,0.67,
"14.Kunj Bihari Saini, Management of Ayurveda in Mus-culoskeletal Ailments of Janu Sandhi (Knee Joint) with special references to Sports Injuries, Punarnava: Mar: Apr 2016: Vol: 4, Issue 2",NO VERIFICABLE,,,,,2016,,,0.71,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
Kominfo. (2017). Peluang Besar Jadi Pengusaha Di Era Digital.,NO VERIFICABLE,,,,,2017,,,0.22,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
(2007). Land Use Status quo Classification (Standard No. GB/T 21010-2007).,NO VERIFICABLE,,,,,2007,,,0.33,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Rogoff, K. (1996). The purchasing power parity puzzle. Journal of Economic Literature, 34(2), 647-668.",VERIFICADA,Crossref,10.4324/9780203380185_chapter_2,Purchasing power parity and the PPP puzzle,,1996,,NO,1.0,
"<small>SHEFFIELD, S.</small> and <small>WANG, M.</small> (2017). Field-measure correspondence in Liouville quantum gravity almost surely commutes with all conformal maps simultaneously.",METADATOS DUDOSOS,Crossref,10.1017/9781009405492.007,Introduction to Liouville Conformal Field Theory,,2017,2025,NO,0.6,Año citado (2017) no coincide con el registrado (2025)
"Ozbayoglu EM, Miska SZ, Reed T, Takach N. 2002 (November). Analysis of bed height in horizontal and highly-inclined wellbores by using artificial neural networks. In: SPE international thermal operations and heavy oil symposium, SPE. p. SPE-78939.",VERIFICADA,Crossref,10.2118/78939-ms,Analysis of Bed Height in Horizontal and Highly-Inclined Wellbores by Using Artificial Neural Networks,Ozbayoglu,2002,2002,NO,1.0,
ZewdieK MuwongeT SsebulibaT BambiaF BadaruJ NampewoO et al.A point‐of‐care urine test improves accuracy of self‐reported PrEP adherence among women in Uganda.CROI 2024: Conference on Retroviruses and Opportunistic Infections; March 3–6 2024. Abstract 1112.,NO VERIFICABLE,,,,,2024,,,0.64,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
CJINI (2023) Report on an Unannounced Inspection of Maghaberry Prison 20 September - 6 October. Belfast: CJINI.,NO VERIFICABLE,,,,,2023,,,0.43,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Mekh, N. (2019).(n.d.) Zhanrosfera suchasnoyi ukrayinskoyi naukovoyi komunikatsiyi. [The genre sphere of contemporary Ukrainian scientific communication]. Mova i Mizhkulturna Komunikatsiya, 1, 64-73 (In Ukrainian)",VERIFICADA,Crossref,10.37919/2221-8807-2017-4-92-97,Genre Sphere of Modern Ukrainian Research Communication,Mekh,2019,2017,NO,0.67,
"Tomić, Z., Rakonjac, Lj. (2013): Šumske fitocenoze Srbije, priručnik za šumare, ekologe i biologe, Univerzitet Singidunum -Fakultet za primenjenu ekologiju, Institut za šumarstvo, Beograd (177);",NO VERIFICABLE,,,,,2013,,,0.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Red por los Derechos de la Infancia en México. (17 de agosto de 2022). Desplazamiento forzado de niñas, niños y adolescentes en México. Blog de REDIM. https://cutt.ly/Leo8Ota3",NO VERIFICABLE,,,,,2022,,,0.57,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Nelson, H., L. (2001). Damaged identities, narrative repair. Cornell University Press.",VERIFICADA,Crossref,10.5840/ipq200242220,"Damaged Identities, Narrative Repair",Card,2001,2002,NO,1.0,
"24) 松井哲平, 永井英成, 五十嵐良典, 他. シャント型肝性脳症に対するバルーン閉塞下逆行性静脈塞栓術における効果予測の検討. 日門亢会誌 2021; 27: 41-49",NO VERIFICABLE,,,,,2021,,,0.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Park RM, Gruen ME, Royal K. Association between dog owner demographics and decision to seek veterinary care. Vet Sci. 2021;8(1):7. doi:10.3390/vetsci8010007",VERIFICADA,Crossref,10.3390/vetsci8010007,Association between Dog Owner Demographics and Decision to Seek Veterinary Care,Park,2021,2021,NO,1.0,
"Medical Instruments. (2022). Accessed. April 21, 2022: https://oec.world/en/profile/hs/medical-instruments.",NO VERIFICABLE,,,,,2022,,,0.33,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Office of Water U.S. EPA, 2021a. NPDES: Stormwater Best Management Practice - Bioretention (Rain Gardens).",NO VERIFICABLE,,,,,,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"M. Sakina and T. A. Larasati, “Manajemen Bronkopneumonia pada Bayi 2 Bulan dengan Riwayat Lahir Prematur,” 2016.",NO VERIFICABLE,,,,,2016,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Tisseyre, B., Ojeda, H., Carillo, H., Deis, L., and Heywang, M. (2005, January 12–16). Precision viticulture and water status: Mapping the predawn water potential to define within vineyard zones. Proceedings of the 7 Fruit, Nut and Vegetable Production Engineering Symposium, Montpellier, France.",NO VERIFICABLE,,,,,2005,,,0.54,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Köchl S, Niederstätter H, Parson W. DNA extraction and quantitation of forensic samples using the phenol-chloroform method and real-time PCR. Methods in Molecular Biology (Clifton, N.J.). 2005; 297: 13–30.",VERIFICADA,Crossref,10.1385/1-59259-867-6:013,DNA Extraction and Quantitation of Forensic Samples Using the Phenol–Chloroform Method and Real-Time PCR,Köchl,2005,,NO,1.0,
"CDPGH = Davies, Mark. Corpus do Português (Genre/Historical), https://www.corpusdoportugues.org/hist-gen/.",NO VERIFICABLE,,,,,,,,0.62,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Ł.Albrecht , A.Albrecht and L.Dell'Amico , Asymmetric Organocatalysis: New Strategies, Catalysts, and Opportunities , Wiley-VCH , 2022",NO VERIFICABLE,,,,,2022,,,1.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Fourati W, Bouhlel MS (2005) A novel approach to improve the performance of JPEG2000. In: ICGST international journal on graphics, vision and image processing, 5(5)",NO VERIFICABLE,,,,,2005,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Carton, J. A., G. A. Chepurin, and L. Chen, 2018: SODA3: A new ocean climate reanalysis. J. Climate, 31, 6967–6983, https://doi.org/10.1175/JCLI-D-18-0149.1.",VERIFICADA,Crossref,10.1175/jcli-d-18-0149.1,SODA3: A New Ocean Climate Reanalysis,Carton,2018,2018,NO,1.0,
ATLAS.ti. (2022). Scientific Software Development GmbH [ATLAS.ti 22 Windows]. 〈https://atlasti.com/〉. In.,NO VERIFICABLE,,,,,2022,,,0.33,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
